categorie;naam;omschrijving;prijs;dieet;allergenen
Lunch > Tosti's en broodjes;2 Kwekkeboom kroketten;;15,00;;
Lunch > Tosti's en broodjes;Baguette geitenkaas met honing;;11,50;;
Lunch > Tosti's en broodjes;Omelet ham en kaas;;12,75;;
Lunch > Tosti's en broodjes;Pizzabaguette;Tomatensaus, oregano en mozzarella;13,00;;
Lunch > Tosti's en broodjes;Tosti geitenkaas met honing;;10,15;;
Lunch > Tosti's en broodjes;Tosti ham en kaas;;9,20;;
Lunch > Tosti's en broodjes;Uitsmijter ham en kaas;;13,25;;
Lunch > Tosti's en broodjes;Uitsmijter spek;;14,00;;
Lunch > 12-uurtje;12-uurtje;Kroket, twee sneetjes brood, ham en kaas, tomatensoep;15,25;;
Pannenkoeken, poffertjes & wafels;Pannenkoek met poedersuiker of stroop;;12,20;;
Pannenkoeken, poffertjes & wafels;Pannenkoek ham en kaas;;13,20;;
Pannenkoeken, poffertjes & wafels;Pannenkoek appel met slagroom;;13,20;;
Pannenkoeken, poffertjes & wafels;Pannenkoek spek;;13,50;;
Pannenkoeken, poffertjes & wafels;Pannenkoek met aardbeien;;14,75;;
Pannenkoeken, poffertjes & wafels;Poffertjes met aardbeien en slagroom;;11,00;;
Pannenkoeken, poffertjes & wafels;Poffertjes met poedersuiker en slagroom;;10,00;;
Pannenkoeken, poffertjes & wafels;Wafel met aardbeien en slagroom;;11,00;;
Pannenkoeken, poffertjes & wafels;Wafel met poedersuiker en slagroom;;10,00;;
Diner > Voorgerechten;Huisgemaakte vissoep;;9,50;;
Diner > Voorgerechten;Huisgemaakte uiensoep;;8,75;;
Diner > Voorgerechten;Huisgemaakte tomatensoep;;8,75;;
Diner > Voorgerechten;Runder carpaccio;Met truffelmayonaise, pijnboompitten, rucola en Parmezaanse kaas;16,50;;
Diner > Voorgerechten;Vitello tonnato;Kalfsvlees;15,50;;
Diner > Voorgerechten;Breekbrood met smeersels;;8,50;;
Diner > Vleesgerechten;Gegrilde tomahawk;Met courgette, barbecuesaus en pepersaus;77,50;;
Diner > Vleesgerechten;Gegrilde spareribs;;27,00;;
Diner > Vleesgerechten;Biefstuk van de grill;Met pepersaus;28,00;;
Diner > Vleesgerechten;Gegrilde hamburger speciaal;;25,50;;
Diner > Visgerechten;Vispannetje;;25,50;;
Diner > Visgerechten;Gegrilde sliptong;;28,50;;
Diner > Visgerechten;Gegrilde zeebaarsfilet;Met chimichurri;27,50;;
Diner > Visgerechten;Gegrilde tonijnsteak;Met chimichurri;27,00;;
Diner > Vegetarisch;Vegetarische tajine;;25,50;vegetarisch;
Diner > Vegetarisch;Falafel;Met gewokte groente, salade en friet;23,50;vegetarisch;
Diner > Vegetarisch;Vegetarische lasagne;;25,50;vegetarisch;
Diner > Maaltijdsalades;Griekse salade;Olijven, feta, ui, tomaten en komkommer;18,50;;
Diner > Maaltijdsalades;Tonijnsalade;Olijven, ei, ui en tomaten;18,50;;
Diner > Bijgerechten;Salade;;4,20;;
Diner > Bijgerechten;Gepofte aardappel;;4,70;;
Diner > Bijgerechten;Groente;;5,20;;
Diner > Bijgerechten;Couscous;;4,70;;
Diner > Bijgerechten;Extra friet;;4,70;;
Diner > Desserts;Dame blanche;;9,00;;
Diner > Desserts;IJs met warme kersen en slagroom;;11,75;;
Diner > Desserts;Chocolade-lavacake;Met ijs en slagroom;12,75;;
Diner > Desserts;Huisgemaakte tiramisu;Met ijs en slagroom;12,75;;
Kindermenu;Kindermenu kroket;Kroket, friet, mayonaise en kinderijsje;12,50;;
Kindermenu;Kindermenu frikandel;;12,50;;
Kindermenu;Kindermenu kipnuggets;;12,50;;
Kindermenu;Pannenkoek met stroop en ijs;;12,50;;
Noord-Afrikaans menu;Menu met tajine van kip;Tajine: stoofpot met kip en diverse groenten, geserveerd met brood;35,50;;
Noord-Afrikaans menu;Menu met tajine van vis;Tajine: stoofpot met vis en diverse groenten, geserveerd met brood;35,50;;
Noord-Afrikaans menu;Menu met tajine van gamba's;Tajine: stoofpot met gamba's en diverse groenten;38,50;;
Pizza;Pizza margherita;Tomatensaus en kaas;15,75;;
Pizza;Pizza funghi;Tomatensaus, kaas en champignons;16,25;;
Pizza;Pizza prosciutto;Tomatensaus, kaas en ham;16,25;;
Pizza;Pizza salami;Tomatensaus, kaas en salami;16,25;;
Pizza;Pizza tropicale;Tomatensaus, kaas, ham en ananas;18,25;;
Pizza;Pizza verdura;Tomatensaus, kaas, ham, paprika, champignons en olijven;18,75;;
Pizza;Pizza vegetariano;Tomatensaus, kaas, paprika, champignons, artisjokken en ui;18,75;;
Pizza;Pizza quattro stagioni;Tomatensaus, kaas, ham, salami, paprika, champignons en ui;19,75;;
Pizza;Pizza kebab;Tomatensaus, kaas, kebab, ui en knoflooksaus;19,75;;
Pizza;Pizza tonno;Tomatensaus, kaas, tonijn, kappertjes en ui;19,75;;
Pizza;Pizza fruits de mer;Tomatensaus, kaas, mosselen, garnalen, inktvis en kokkels;19,75;;
Pizza;Pizza 4 kazen;Tomatensaus, mozzarella, geitenkaas, gorgonzola en emmentaler;19,75;;
Pizza;Extra ingrediënt (per stuk);Kaas, ham, salami, kebab, knoflook, tomaat, ui, champignons, paprika, ananas, artisjokken, kappertjes, Spaanse peper, olijven;2,00;;
